A,64.66,3.95,5.13,-8,63.76,65.78,5,1,4,-6,69.22,63.04,5,2,70.40,3,0,65.46,10,4,0,0,0,0,0,0,-7,61.64,9,9,2,-10,0,10,2449200,2594813,-5.6,30,0,-3
AA,42.03,4.25,5.52,-6,40.98,43.08,12,-6,-3,-6,45.90,40.16,1,1,46.71,1,5,41.46,10,3,40.77,37.54,0,0,0,0,6,38.87,1,6,1,10,1,10,2264800,3572184,-36.6,85,0,10
AABA,68.17,5.68,7.38,7,66.71,69.56,12,-7,-7,-8,72.59,68.18,9,1,75.22,1,5,68.05,7,2,67.12,63,0,0,0,0,0,66.41,7,8,1,5,1,10,13234800,8547095,54.8,70,0,9
AAC,9.88,1.64,2.13,2,9.58,10.27,7,2,-1,7,10.35,8.24,9,2,10.90,1,10,9.84,10,3,0,0,0,0,0,0,-6,7.73,1,9,1,5,2,3,234400,143411,63.4,0,60,0
AADR,50.56,3.12,4.06,3,49.73,51.22,12,-8,-7,-8,53.04,50.44,9,1,54.26,0,10,50.44,8,1,49.93,47.72,0,0,0,0,1,49.40,11,10,1,5,1,10,66200,32915,101.1,60,0,6
AAL,37.79,4.04,5.25,5,36.85,38.64,12,-1,-2,-4,41.05,34.99,8,2,41.66,1,8,37.94,8,2,0,0,0,0,0,0,-4,33.77,1,7,1,10,2,7,6364900,5474205,16.3,100,35,9
AAN,49.20,3.94,5.12,7,48.15,50.14,6,8,5,9,48.02,44.06,1,1,49.19,0,10,48.43,6,2,0,0,49.12,52.2,0,1,6,42.81,9,2,1,10,3,0,354400,710936,-50.2,0,30,5
AAOI,40.16,9.33,12.13,-4,38.19,42.13,3,-3,-1,0,49.70,32.99,1,0,52.50,2,1,38.40,10,2,0,0,0,0,0,0,3,30.17,8,2,2,-5,1,8,700500,1240193,-43.5,65,90,4
AAON,41.20,2.82,3.67,9,40.41,41.88,0,9,8,9,39.88,37.23,1,1,40.72,0,10,0,0,0,0,0,0,0,0,0,9,36.33,2,1,1,10,2,2,118100,203641,-42,0,20,0
AAP,159.72,13.54,17.60,4,156.84,162.96,7,9,7,9,156.41,146.45,5,0,159.05,1,10,159.05,5,1,0,0,161.42,171.66,0,0,1,141.14,2,8,1,10,0,10,965900,1039512,-7.1,0,80,1
AAPL,217.58,14.99,19.49,9,213.35,221.06,0,9,8,9,211.12,196.83,8,1,215.56,0,10,0,0,0,0,0,0,0,0,0,8,193.24,10,7,1,10,1,8,35028100,29081431,20.4,0,35,3
AAT,39.40,2.22,2.88,7,38.80,39.84,6,6,5,7,39.87,36.74,1,1,40.53,0,10,38.75,1,1,0,0,39.12,40.78,0,1,6,36.41,10,1,1,10,3,2,177400,277628,-36.1,0,30,9
AAV,3.00,0.51,0.66,-7,2.88,3.13,12,-5,-4,-7,3.41,2.82,1,1,3.59,2,4,2.96,10,4,0,0,0,0,0,0,7,2.66,7,1,1,10,1,10,61000,236712,-74.2,80,0,8
AAWW,60.25,4.73,6.16,4,59.07,61.21,11,-9,-9,-9,63.79,60.94,2,1,65.54,1,8,59.40,9,3,0,0,0,0,0,0,4,59.45,11,8,1,10,0,10,168100,233761,-28.1,50,0,4
AAXJ,69.82,3.63,4.72,8,68.69,70.69,5,-5,-5,3,71.99,68.61,3,1,73.64,1,9,70.56,3,1,69.96,67.28,0,0,0,0,7,67.50,12,5,1,10,0,10,531000,795997,-33.3,0,0,0
AAXN,64.15,10.05,13.06,6,61.32,66.51,7,-4,-7,5,68.69,56.49,2,1,73.29,1,10,64.63,6,2,0,0,0,0,0,0,6,54.44,6,2,1,10,1,6,583200,1063820,-45.2,0,65,1
AB,29.75,1.76,2.28,1,29.42,30.11,7,2,-3,7,30.30,27.96,1,0,30.82,1,10,29.74,1,1,0,0,0,0,0,0,-4,27.49,8,1,1,5,2,1,155000,311076,-50.2,0,70,4
ABB,22.54,1.54,2.01,6,22.14,22.85,11,2,1,-5,23.82,21.56,1,1,24.28,2,1,22.24,5,3,0,0,0,0,0,0,6,21.10,1,8,1,10,1,7,1361600,2124847,-35.9,50,20,6
ABBV,98.81,8.42,10.95,7,96.47,100.58,7,6,5,7,100.55,89.60,5,1,103.06,1,10,98.57,10,4,0,0,0,0,0,0,4,87.00,9,5,1,10,2,1,6306900,7090438,-11.1,0,55,2
ABC,87.72,6.88,8.94,9,85.72,89.30,7,5,-1,8,86.73,80.22,4,1,88.90,1,10,86.73,5,3,0,0,0,0,0,0,6,77.62,7,5,1,10,2,1,1298900,1588933,-18.3,0,45,0
ABCB,49.60,3.69,4.80,4,48.69,50.41,6,-4,-5,5,51.67,46.39,2,1,52.77,0,10,48.86,2,1,0,0,0,0,0,0,4,45.27,11,4,1,10,1,9,156700,277595,-43.6,20,65,4
ABCD,13.08,1.41,1.84,9,12.64,13.50,7,7,2,8,13.09,11.55,8,0,13.55,1,10,13.09,10,2,0,0,13.34,14.46,0,0,-4,11.09,10,8,1,10,1,6,233400,199709,16.9,0,65,2
ABDC,6.37,0.88,1.15,6,6.15,6.54,7,2,-1,4,6.94,5.37,1,1,7.13,2,5,6.38,10,4,0,0,0,0,0,0,4,5.10,7,2,1,10,1,5,15500,65549,-76.4,30,75,2
ABEO,13.25,2.58,3.36,4,12.73,13.91,12,-5,-1,-6,15.62,11.99,1,2,16.39,2,0,12.96,2,2,0,0,0,0,0,0,-7,11.19,12,1,2,-10,1,10,401300,926827,-56.7,50,0,-2
ABEV,4.91,0.46,0.60,-2,4.79,5.02,12,-1,-1,-7,5.28,4.77,10,1,5.47,1,7,4.94,10,2,0,0,0,0,0,0,5,4.66,1,9,2,-5,1,10,51732700,25956298,99.3,70,0,5
ABG,74.75,5.91,7.69,-1,73.55,76.05,7,7,7,2,78.17,69.13,1,1,79.91,1,10,75.40,10,3,0,0,76.38,80.8,0,0,3,67.34,8,5,1,5,2,3,121300,193193,-37.2,50,85,4
ABIL,4.70,1.44,1.87,-1,4.39,5.06,12,-4,0,-6,5.10,3.97,5,0,5.25,0,10,4.71,6,2,0,0,0,0,0,0,1,3.49,8,7,2,0,1,10,196100,434401,-54.9,30,0,7
ABM,31.85,2.99,3.89,6,31.10,32.45,7,5,4,4,33.82,28.68,1,1,34.71,2,8,31.92,5,1,0,0,0,0,0,0,6,27.51,9,1,1,10,3,0,159900,648297,-75.3,0,40,3
ABMD,358.82,41.90,54.46,-5,347.55,370.23,12,-7,-8,-5,407.42,347.91,2,2,420.01,2,3,358.57,5,1,0,0,0,0,0,0,-8,334.67,7,4,2,-10,1,10,442100,574719,-23.1,60,0,-3
ABR,11.62,0.70,0.92,7,11.41,11.79,7,7,3,4,12.06,10.87,6,1,12.27,1,10,11.65,5,1,0,0,11.77,12.29,0,0,6,10.62,3,8,1,10,2,4,1025800,1061155,-3.3,0,40,2
ABT,64.72,4.12,5.35,7,63.55,65.58,4,4,0,4,67.68,60.80,3,1,68.91,1,9,65.43,1,1,0,0,0,0,0,0,6,59.55,10,1,1,10,2,1,4763000,5538399,-14,40,35,4
ABUS,9.10,1.83,2.37,0,8.64,9.61,12,-6,-7,-7,10.74,8.42,3,0,11.28,1,9,8.94,8,1,8.65,7.4,0,0,0,0,0,7.81,3,4,1,5,1,10,164700,284485,-42.1,100,0,3
ABX,10.02,1.06,1.37,-5,9.76,10.25,12,-9,-9,-8,11.07,10.42,9,1,11.39,1,8,10.00,8,1,9.83,9.09,0,0,0,0,6,10.09,11,10,2,-10,1,10,17192300,11158853,54.1,40,0,-1
ACAD,13.03,2.83,3.68,-8,12.44,13.84,0,-8,-7,-7,16.17,12.47,6,2,17.01,2,3,0,0,0,0,0,0,0,0,0,-5,11.53,12,6,2,-10,0,10,2895000,2925619,-1,60,0,-5
ACBI,18.25,1.22,1.59,5,17.95,18.60,12,-6,-7,4,18.98,17.50,3,1,19.51,0,10,18.17,6,2,0,0,0,0,0,0,4,17.13,7,2,1,10,2,5,43300,89784,-51.8,30,0,6
ACC,42.07,2.54,3.30,7,41.37,42.58,7,1,-2,6,43.11,39.11,1,1,44.08,1,10,42.22,3,1,0,0,0,0,0,0,8,38.34,0,1,1,10,2,1,384200,839801,-54.3,0,45,1
ACCO,12.05,0.99,1.28,-5,11.82,12.27,11,-9,-9,-8,12.90,12.45,8,1,13.18,2,3,11.86,7,3,0,0,0,0,0,0,7,12.02,7,7,1,10,0,10,598900,503912,18.9,70,0,7
ACET,3.26,1.11,1.44,2,3.05,3.47,1,-1,0,1,4.32,2.15,1,1,4.65,2,6,3.23,2,2,0,0,0,0,0,0,3,1.82,12,1,0,0,2,3,168200,517425,-67.5,70,70,4
ACGL,30.63,1.77,2.30,7,30.15,31.11,7,8,6,4,31.79,28.59,1,1,32.32,1,10,30.90,1,1,0,0,31.20,32.5,0,0,5,28.06,2,1,1,10,3,0,732700,1849381,-60.4,10,50,1
ACGLP,23.88,0.48,0.62,-1,23.79,23.97,1,-2,0,-1,24.35,23.45,1,2,24.42,2,2,23.86,9,3,0,0,0,0,0,0,1,23.31,0,1,2,-5,1,5,25700,42027,-38.8,70,70,4
ACH,9.84,1.86,2.42,1,9.36,10.20,12,-5,-3,-6,11.40,8.93,7,1,12.04,1,6,9.79,7,3,9.49,8.13,0,0,0,0,0,8.35,1,9,1,5,1,10,85700,77592,10.4,95,30,10
ACHC,39.19,3.97,5.16,4,38.33,39.95,12,-6,-7,-7,42.50,38.05,1,1,43.20,2,3,39.20,3,1,0,0,0,0,0,0,5,36.80,7,1,1,10,1,10,364000,953448,-61.8,70,0,5
ACHN,2.53,0.40,0.53,-6,2.43,2.63,12,-6,-5,-5,2.87,2.31,1,2,2.99,1,6,2.53,1,1,2.46,2.17,0,0,0,0,-6,2.19,11,2,2,-10,1,10,585800,1266235,-53.7,65,0,-2
